"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.199782460E-1,8.461020470E0,3.972085714E-1,5.173282623E0,9.925194967E0
7.223566830E-1,8.480163574E0,3.708875179E-1,5.182853699E0,9.945486628E0
7.247351210E-1,8.480163574E0,3.684946895E-1,5.204389095E0,9.956637406E0
7.271135060E-1,8.504091263E0,3.589234054E-1,5.204389095E0,9.976675803E0
7.294919440E-1,8.501698494E0,3.397808075E-1,5.225924492E0,9.985219831E0
7.318703810E-1,8.501698494E0,3.230310678E-1,5.233103275E0,9.988423111E0
7.342488190E-1,8.513663292E0,2.751746178E-1,5.211567879E0,9.985921263E0
7.366272560E-1,8.520841599E0,2.632105052E-1,5.211567879E0,9.991719625E0
7.390056420E-1,8.494520187E0,2.033899277E-1,5.221138954E0,9.972889885E0
7.413840790E-1,8.480163574E0,1.866401732E-1,5.209175110E0,9.954070229E0
7.437625170E-1,8.463413239E0,1.698904037E-1,5.206781864E0,9.938249533E0
7.461409540E-1,8.449056625E0,1.387837082E-1,5.213960648E0,9.929310369E0
7.485193920E-1,8.427521706E0,1.292124242E-1,5.216353416E0,9.912121918E0
7.508977770E-1,8.386843681E0,1.268195957E-1,5.216353416E0,9.877528694E0
7.532762150E-1,8.367700577E0,1.052841991E-1,5.221138954E0,9.863558672E0
7.556546520E-1,8.327022552E0,7.896314561E-2,5.225924492E0,9.831369516E0
7.580330900E-1,8.307880402E0,6.699903309E-2,5.247459888E0,9.826555903E0
7.604114750E-1,8.303094864E0,7.178468257E-2,5.266602516E0,9.832783910E0
7.627899130E-1,8.305487633E0,4.546362907E-2,5.271388054E0,9.837211179E0
7.651683500E-1,8.300702095E0,2.871387079E-2,5.292923450E0,9.844669543E0
7.675467880E-1,8.303094864E0,3.110669367E-2,5.302495003E0,9.851842731E0
7.699251730E-1,8.262416840E0,5.742774159E-2,5.297709465E0,9.815118723E0
7.723036100E-1,8.271987915E0,6.939185411E-2,5.288137913E0,9.818095634E0
7.746820480E-1,8.295916557E0,5.264209956E-2,5.280959606E0,9.834304097E0
7.770604850E-1,8.283951759E0,4.307080805E-2,5.290530682E0,9.829314663E0
7.794389230E-1,8.305487633E0,4.307080805E-2,5.312066078E0,9.859058065E0
7.818173080E-1,8.305487633E0,2.392822690E-2,5.319244862E0,9.862862834E0
7.841957460E-1,8.322237015E0,9.571290575E-3,5.328815937E0,9.882105030E0
7.865741830E-1,8.322237015E0,3.349951655E-2,5.328815937E0,9.882157175E0
7.889526210E-1,8.319844246E0,3.349951655E-2,5.309673309E0,9.869830857E0
7.913310580E-1,8.315058708E0,1.674975827E-2,5.302495003E0,9.861893080E0
7.937094440E-1,8.317451477E0,2.632104978E-2,5.285745144E0,9.854937524E0
